"CEDULA","NOMBRE","CLASIFICACION","Administracion"
"210004200633","ESTADO-MINISTERIO DE JUSTICIA Y PAZ","J","01"
"210004522212","PATRONATO DE CONSTRUCCIONES INSTALACIONES Y ADQUISICION DE BIENES","J","01"
"220004215310","ASAMBLEA LEGISLATIVA","J","01"
"300142978926","INMOBILIARIA G & G AMIGOS SOCIEDAD ANONIMA","J","00"
"300142986401","SERVICIOS LOGISTICOS MADURO SOCIEDAD ANONIMA","J","00"
"300204202218","ASOCIACION CAMARA DE COMERCIO DE COSTA RICA","J","01"
"300204500932","ASOCIACION CENTRO CULTURAL COSTARRICENSE-NORTEAMERICANO","J","01"
"300204509611","ASOCIACION CAMARA COSTARRICENSE DE LA INDUSTRIA ALIMENTARIA","J","01"
"300204513723","ASOCIACION CONVENCION BAUTISTA DE COSTA RICA","J","01"
"300204514132","ASOCIACION CAMARA DE GANADEROS DE SAN CARLOS","J","08"
"300204515031","ASOCIACION DE DESARROLLO INTEGRAL DE SAN ISIDRO DE SAN RAMON","J","02"
"300204519117","ASOCIACION PRO HOSPITAL NACIONAL DE NINOS","J","01"
"300204519607","ASOCIACION IGLESIA SANTIDAD PENTECOSTAL CONFERENCIA DE COSTA RICA","J","01"
"300204525517","ASOCIACION ASAMBLEA APOSTOLICA DE LA FE EN CRISTO JESUS","J","01"
"300204527511","ASOCIACION DESARROLLO INTEGRAL DE PALMICHAL DE ACOSTA","J","01"
"300204531721","ASOCIACION NACIONAL DE EDUCADORES                                               ","J","01"
"300204533029","ASOCIACION DESARROLLO INTEGRAL DE DESAMPARADOS CENTRO","J","00"
"300204533519","ASOCIACION RESIDENCIA PARA PERSONAS ADULTAS MAYORES HDBS PROGRAMA","J","01"
